Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Brand Name,SKU Name,Item Code,Exclusivity Type,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,Upgrade
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Frypan with Soft-Touch Handle (24cm, Non Toxic Non Stick, ISI Certified, PFAS PTFE Free, Coorg Green)",664168,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Frypan with Soft-Touch Handle (24cm, Non Toxic Non Stick, ISI Certified, PFAS PTFE Free, Terracotta)",377132,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet CookSmart TriPly Stainless Steel Cookware Set with Glass Lid (Deep Kadai 20cm - 1.7L, Frypan 20cm - 1L, Set of 3, Silver)",601351,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Saucepans,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet Cook Smart TriPly Steel-Aluminium-Steel 3 Layers Sauce Pan (20cm, 2.3L, Silver)",279394,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner Argent Classic Triply Stainless Steel 2.5 Liters Outer Lid Pressure Cooker - Induction Bottom,909729,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Bergner,Bergner TriPro Tri-Ply Stainless Steel 5 L Outer Lid Pressure Cooker,249835,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet CookSmart TriPly Stainless Steel Cookware Set with Glass Lid (Deep Kadai 20cm - 1.7L, Frypan 20cm - 1L, Saucepan 14cm - 1.15L, Casserole 20cm - 2.9L, Set of 5, Silver)",143093,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Triply,Meyer,Meyer Trivantage Stainless Steel Triply Cookware Kadai/Wok (2.46 ltr with Lid),463770,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pressure Cooker,Cookware,Healthier Cooking,Triply,Meyer,Meyer Presta Tri-ply Pressure Cooker (3L),310545,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet CookSmart TriPly Stainless Steel Cookware Set with Lid (Deep Kadai 20cm - 1.7L, Frypan 20cm - 1L, Set of 3, Silver)",551874,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Cookware Set,Cookware,Healthier Cooking,Triply,Sumeet,"Sumeet CookSmart TriPly Stainless Steel Cookware Set with Glass Lid (Deep Kadai 20cm - 1.7L, Frypan 20cm - 1L, Casserole 20cm - 2.9L, Set of 4, Silver)",900142,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Cast Iron,Sumeet,"Sumeet Super Smooth Gold Series Pre Seasoned Cast Iron Kadai (25cm, 2.7L, 2.670kg, Gas and Induction-Friendly, Black)",584843,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Cast Iron,Sumeet,"Sumeet Pre Seasoned Heavy Weight Cast Iron Flat Dosa Tawa (30cm, 3.070kg, Induction Friendly, Black)",561540,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Cast Iron,Meyer,Meyer 24 cm Pre-Seasoned Cast Iron Induction Compatible Flat Dosa Tawa - Black,51161,Level 3: Complete SKU Exclusivity,Yes,Yes,True
